id,set
1159572,train
1172856,train
1176655,test
1177924,test
1185916,train
1205350,train
1224679,train
1226803,train
1227566,train
1230847,train
1234638,train
1237568,train
1238867,train
1255664,train
1255842,train
1264077,test
1272125,test
1273930,train
1273941,train
1273954,test
1273965,test
1274386,train
1274387,test
1275721,train
1282857,train
1283324,train
1286381,train
1300487,train
1302932,train
1306679,train
1310620,train
1318989,test
1322780,train
1331239,train
1346757,train
1350644,test
1358910,train
1374034,train
1388269,train
1389205,train
1396712,train
1400743,train
1405939,test
1440278,train
1468872,train
1479117,test
1488624,train
1537125,train
1537928,train
1540715,train
1541488,train
1548045,train
1548171,train
1554182,train
1564151,train
1564654,train
1564917,train
1565012,test
1565047,train
1574592,train
1575295,train
1590153,train
1599410,train
1608072,train
1632187,train
1645341,train
1647378,train
1648222,test
1653909,train
1654057,train
1656340,test
1657488,train
1679048,train
1697691,train
1701332,train
1714515,test
1748743,train
1757613,train
1794838,train
1814192,test
1827536,train
1828107,train
1838879,train
1852328,train
1863324,test
1869046,train
1871203,train
1880216,test
1882990,test
1883235,train
1898454,test
1915904,train
1930322,train
1933398,test
1946067,train
1954311,train
1972944,train
1977882,train
1986327,test
1987662,train
2002741,train
2006060,train
2018489,train
2027140,train
2045192,test
2050016,test
2053014,train
2061212,train
2061221,train
2076483,train
2078746,train
2079942,train
2093486,train
2096970,train
2098124,test
2110056,test
2110405,train
2110953,train
2118068,train
2131667,train
2137277,train
2140695,train
2147777,train
2154488,train
2165255,train
2191449,test
2191648,train
2192027,test
2199290,train
2201228,train
2220054,train
2237527,train
2291619,train
2317701,train
2328948,train
2329696,train
2364026,train
2378401,train
2384606,train
2394897,train
2395908,train
2396312,train
2398889,train
2421445,train
2445048,train
2446432,train
2449808,test
2450125,test
2458229,train
2485124,test
2485985,train
2492162,test
2520376,train
2529429,train
2534755,train
2543760,test
2563181,train
2566846,train
2583301,test
2591901,train
2599765,train
2602460,train
2602858,train
2610528,train
2623250,train
2639933,test
2644458,train
2647478,train
2649669,train
2650663,train
2657671,test
2667188,train
2682379,train
2742389,train
2742817,train
2760114,train
2777694,train
2784176,train
2796273,train
2820362,test
2850204,train
2883909,train
2895197,train
2945314,train
2965875,test
3047076,train
3055569,train
3080548,train
3092770,train
3092794,train
3105942,test
3108376,train
3108596,train
3108686,train
3109265,test
3124110,train
3152009,train
3152463,train
3187735,train
3188899,test
3188942,train
3207319,train
3210996,train
3242577,train
3301269,train
3308204,train
3314419,train
3367119,train
3378027,train
3408290,test
3448024,train
3509628,train
3515365,train
3521467,train
3522082,train
3536011,train
3640939,train
3643460,train
3658723,test
3686192,train
3686560,test
3700907,train
3707444,train
3717559,train
3717751,test
3727033,train
3727551,train
3754935,test
3771794,train
3777232,train
3783117,train
3788727,train
3807087,train
3845956,train
3849605,train
3866359,train
3866928,train
3883715,train
3904895,train
3963584,train
3967775,train
3968204,train
3969577,train
3970161,train
3973420,train
3974304,train
3974716,train
3976211,train
3988568,test
4002356,test
4003140,test
4013104,train
4013666,test
4015015,test
4020501,train
4027687,train
4027713,train
4043341,train
4043573,train
4045063,train
4047579,train
4056601,train
4065383,train
4066963,train
4100566,test
4102472,train
4106583,train
4114966,train
4182815,test
4201970,train
4215500,train
4240183,train
4246768,train
4282156,train
4290174,test
4308621,train
4318976,train
4326410,test
4335533,train
4361737,train
4362839,train
4380854,train
4406052,train
4415891,train
4424125,train
4446421,train
4448981,test
4453432,train
4462848,train
4488888,train
4515108,train
4539101,train
4552063,train
4560502,train
4563394,test
4564830,train
4581049,train
4592944,train
4607356,train
4636280,test
4642736,train
4662175,train
4679825,train
4702615,train
4702673,train
4744063,train
4748491,train
4749982,train
4780087,train
4793644,train
4804458,train
4804494,test
4823591,train
4830714,test
4847553,train
4869716,test
4882696,train
4885068,train
4906835,train
4911748,train
4965994,test
4982472,train
5008340,train
5054525,train
5060152,test
5065008,train
5081996,train
5111098,test
5121824,train
5123152,train
5133260,train
5157068,train
5191010,train
5273943,train
5281256,test
5335113,test
5377067,train
5410909,train
5426613,train
5476658,train
5494100,train
5521732,train
5536095,train
5632897,train
5682500,train
5683994,train
5717063,train
5766122,train
5768047,train
5768223,train
5784956,train
5804964,train
5825471,train
5845894,train
5977917,train
6010441,train
6011824,train
6012552,train
6023183,test
6035999,train
6049780,train
6069995,train
6089841,test
6097880,test
6098049,train
6098179,train
6098609,train
6101399,test
6103025,train
6107182,train
6110762,train
6111076,train
6113576,train
6123610,train
6220902,train
6229070,train
6231989,train
6232450,test
6232949,test
6248829,train
6253378,train
6264703,test
6290291,train
6295492,train
6359334,train
6390509,train
6393081,train
6397457,train
6399125,train
6422289,train
6435183,train
6501830,train
6550264,train
6561278,train
6566904,train
6569098,train
6592954,train
6603062,test
6626147,train
6663931,train
6664659,test
6683274,train
6697033,train
6708791,train
6733959,train
6756421,train
6781856,train
6798469,train
6800795,test
6808626,train
6821500,train
6827947,train
6858383,test
6891866,train
6936087,train
6951394,train
7004451,test
7143189,train
7147873,train
7165718,train
7196659,train
7201979,train
7232230,test
7233314,train
7290315,train
7334840,train
7367476,train
7451718,train
7479300,train
7495407,train
7511673,test
7518928,test
7526348,test
7536231,train
7543419,train
7545423,train
7560506,train
7560830,train
7574664,test
7630614,train
7653603,train
7653620,train
7695587,train
7726077,test
7758924,train
7802212,train
7806721,train
7824562,train
7828523,test
7831357,test
7838754,test
7838790,train
7890338,train
7905519,test
7914317,train
7916154,train
7925838,train
7956833,train
7963887,test
8003746,train
8026172,test
8035642,train
8057477,train
8057647,test
8063187,test
8065355,train
8068061,train
8094511,train
8110330,test
8143876,test
8148569,train
8161618,train
8196902,test
8229853,train
8244352,train
8248629,train
8248992,train
8253616,train
8315129,train
8318934,train
8331619,train
8350811,test
8386451,train
8395897,train
8396454,train
8406327,train
8432917,test
8453624,train
8462220,train
8479134,test
8481531,train
8495375,train
8500483,train
8526256,train
8564167,train
8603631,train
8705386,train
8725453,train
8751621,train
8805561,test
8822071,train
8857403,train
8898542,train
8918586,train
8935549,train
8957894,train
8977531,train
9063682,train
9094717,train
9122881,train
9133614,train
9136533,train
9165505,test
9167632,train
9215122,test
9242135,train
9267723,train
9268629,test
9273023,train
9287838,train
9289390,train
9292804,train
9296950,train
9356063,test
9376881,train
9407104,train
9421220,test
9428090,train
9460079,train
9468063,train
9469485,train
9521041,test
9524021,test
9528288,test
9536240,train
9536912,train
9540682,train
9543073,train
9569717,test
9572022,train
9584066,train
9599108,test
9625405,test
9632005,train
9640138,train
9689519,train
9707618,train
9727199,train
9727345,train
9749193,test
9768373,test
9806201,train
9816472,train
9831333,train
9861129,train
9862651,train
9881695,test
9892924,train
9917784,train
9938743,train
9950528,train
9967282,train
9994644,test
10031729,train
10033310,train
10043384,train
10097546,train
10103689,train
10122398,train
10130849,train
10214749,train
10226031,test
10229937,train
10288865,train
10301548,train
10305300,train
10305735,train
10332030,train
10380276,train
10423394,test
10449594,train
10483677,train
10557892,train
10608680,test
10644579,train
10690972,train
10736361,test
10801764,train
10804666,test
10809582,train
10941394,train
11004682,train
11010163,test
11029458,train
11031031,test
11040223,test
11040435,train
11063888,train
11078656,train
11079277,train
11115400,train
11132300,train
11171718,train
11181263,train
11224443,train
11224996,train
11225429,train
11267258,train
11276488,test
11286561,train
11290301,train
11291073,train
11294127,test
11294240,train
11306475,test
11359657,train
11374200,train
11386702,train
11403270,train
11414934,train
11424717,train
11429575,train
11450419,train
11450430,train
11483657,train
11483775,train
11535768,test
11538198,train
11564181,train
11577306,test
11579227,test
11580064,train
11588697,train
11603400,train
11627489,train
11634962,test
11643878,train
11648023,train
11661596,train
11662528,train
11665059,train
11684618,train
11712065,train
11746050,train
11763620,train
11764015,test
11772098,train
11778849,train
11791600,train
11810798,test
11811523,test
11833825,train
11847541,train
11899062,train
11901953,train
11904018,test
11914556,train
11922402,train
11932837,test
11934470,test
11953265,train
11955458,train
11960713,train
12000192,train
12002960,train
12015708,train
12016452,train
12035626,train
12038279,train
12044871,train
12046648,train
12047079,train
12047604,train
12047874,train
12048269,train
12060184,train
12107131,train
12109635,test
12117451,train
12120894,train
12187362,train
12226042,train
12245726,train
12246011,train
12319085,train
12323135,test
12334987,train
12337676,train
12375222,train
12398605,train
12449679,train
12466692,test
12488930,train
12541792,train
12548871,test
12549511,train
12557900,train
12559061,train
12575158,train
12675577,train
12691355,train
12693704,train
12723428,train
12745855,train
12839362,train
12843786,train
12925015,train
12967814,train
12977832,train
12985105,test
13010994,train
13027547,train
13048201,test
13069376,train
13070266,train
13080698,train
13160573,train
13165152,test
13167689,test
13178758,train
13182999,train
13215295,train
13218631,train
13231476,train
13242488,train
13243503,train
13254923,test
13256017,test
13284344,train
13307567,test
13320037,train
13326488,train
13331342,train
13336061,train
13357121,train
13358868,train
13449036,train
13486922,train
13507504,train
13508386,train
13554198,train
13559199,test
13581794,train
13593507,train
13593823,test
13640248,train
13651040,test
13663197,train
13666450,train
13668880,test
13669202,train
13697965,train
13704364,train
13706588,train
13711603,test
13717143,train
13737022,train
13739449,train
13742979,train
13746394,train
13755615,train
13757236,train
13760375,train
13761071,train
13780319,train
13798286,train
13804335,train
13812209,train
13838662,train
13857894,test
13868134,train
13872278,train
13875477,test
13893621,train
13991862,train
14006299,train
14015930,test
14025422,train
14089858,test
14117749,train
14159874,train
14191082,train
14257495,train
14259993,train
14271096,train
14306417,test
14309900,train
14311547,train
14312400,train
14312606,train
14314574,train
14317576,train
14318884,train
14327015,train
14333714,train
14335678,train
14365073,train
14365180,train
14368620,test
14381251,train
14411608,train
14435290,test
14481572,test
14519469,train
14534488,train
14558847,train
14574834,train
14588206,train
14604795,test
14618013,test
14619469,test
14648612,train
14649359,train
14649703,train
14666005,test
14666168,test
14692920,train
14701391,train
14736577,test
14742206,train
14793841,train
14795425,train
14804266,train
14821247,train
14839691,test
14865350,train
14872009,train
14878503,train
14906316,train
14914583,train
14927090,train
14930230,train
14938479,train
14942829,train
14956202,train
14974548,train
14999599,train
15003633,test
15019290,train
15107151,train
15107970,train
15135449,train
15135834,train
15153401,train
15187287,test
15215356,train
15226698,train
15227435,test
15229038,train
15235950,train
15245580,train
15251878,train
15293787,train
15307995,train
15363472,train
15365339,train
15406878,train
15415032,train
15452539,train
15472493,train
15472852,train
15477104,train
15481307,train
15491436,train
15494108,train
15600124,test
15611440,test
15616319,train
15644542,train
15645656,train
15652886,train
15653871,train
15660868,test
15694049,train
15724030,train
15754825,train
15778858,train
15810587,train
15850068,train
15868988,test
15884562,train
15895668,train
15935417,test
15941034,train
15985692,train
15993543,train
15995604,train
15998589,test
16026861,train
16028905,test
16041518,test
16050152,train
16050858,train
16053818,train
16067603,train
16090762,train
16091735,train
16096011,test
16106554,train
16106983,train
16119275,test
16143085,test
16152597,train
16153411,train
16155678,train
16167725,test
16167936,test
16168421,train
16172185,test
16176629,train
16183018,test
16183489,test
16190835,train
16196974,train
16209988,train
16222479,train
16237052,train
16237757,train
16245894,train
16245953,test
16250536,test
16252509,train
16254081,train
16279620,train
16280687,test
16283253,train
16283413,train
16292857,train
16295639,train
16296818,train
16298872,train
16299075,train
16299453,test
16299803,train
16305782,train
16340532,test
16353356,test
16354711,train
16401216,train
16405504,train
16469975,train
16470400,test
16487175,train
16543844,train
16583885,train
16592760,train
16608497,train
16627622,train
16632030,train
16633391,test
16648309,train
16684717,train
16689831,train
16695157,train
16723150,train
16729649,train
16730380,train
16754826,train
16777646,train
16804425,train
16821096,train
16821725,train
16841623,train
16864734,test
16865367,train
16882223,train
16889808,train
16906146,train
16907989,train
16920274,train
16922853,test
16939260,train
16951349,test
16951874,test
17001209,train
17002284,train
17020147,train
17046966,train
17049231,train
17071054,train
17077519,train
17100847,train
17103649,train
17103959,train
17134678,train
17135938,train
17200670,test
17214218,train
17220997,train
17223235,train
17230578,train
17237876,train
17250059,train
17262468,train
17274704,train
17276017,train
17281529,train
17296261,train
17317782,train
17331756,train
17384054,test
17396668,train
17399068,train
17403218,test
17413995,train
17429361,train
17454516,train
17489955,train
17503717,train
17507258,train
17508652,train
17512321,train
17577612,train
17580783,train
17581450,train
17624029,train
17667654,train
17687950,train
17688899,train
17740580,train
17741498,train
17819100,train
17855915,train
17863035,train
17876581,train
17901903,train
17910598,train
17913499,train
17924604,train
17948177,train
17955217,train
17968239,train
17968986,train
17990722,train
18014187,train
18017333,train
18028772,train
18052482,train
18066481,train
18069548,test
18070061,train
18082169,train
18084098,train
18120892,train
18148042,train
18150458,train
18158993,train
18220853,train
18238487,train
18262514,train
18266768,train
18289300,train
18352268,test
18365897,train
18382782,train
18443210,train
18444663,train
18468668,train
18473062,test
18478528,test
18506873,train
18521477,train
18524158,train
18524659,train
18547011,train
18554324,train
18590850,train
18596542,train
18605817,test
18606044,train
18610999,train
18614470,train
18641674,test
18659334,test
18671787,train
18698064,test
18745287,test
18754513,train
18786177,train
18798641,train
18807851,train
18836091,test
18846314,train
18848814,train
18849131,train
18863113,train
18868167,train
18870555,train
18910942,test
18924370,train
18937951,train
18956417,train
18956560,train
18973648,train
18986200,test
19023126,test
19076725,train
19093715,train
19099053,train
19153150,train
19173973,train
19215782,train
19237627,test
19291382,train
19329675,test
19330760,train
19382941,test
19395636,train
19406486,train
19417960,train
19418481,test
19455026,test
19484432,train
19499351,train
19518502,train
19548993,train
19561032,test
19580816,train
19589775,test
19592209,train
19614279,test
19619437,test
19637101,test
19644489,train
19651064,train
19651885,train
19652167,test
19653235,train
19654788,test
19655083,test
19666219,train
19666365,train
19683019,train
19687328,train
19689097,test
19690409,train
19691239,train
19725552,train
19727214,train
19727888,train
19742792,test
19753755,train
19781919,train
19794276,train
19819023,train
19885029,test
19908189,train
19916998,train
19917195,train
19917378,train
19944086,train
19944626,train
19957120,train
19961235,train
19976281,train
19991029,test
20004327,train
20010042,train
20071024,train
20080687,train
20119053,train
20132686,test
20138119,train
20141174,train
20157960,train
20162792,train
20166135,test
20166459,train
20185864,train
20189998,train
20205566,test
20205689,train
20223263,train
20227733,train
20240320,train
20247909,train
20276205,test
20279988,train
20282379,train
20311745,train
20359070,train
20368223,test
20369170,test
20376835,train
20447608,train
20474862,train
20561833,train
20597762,train
20599550,test
20614357,train
20614794,train
20615729,train
20632571,train
20643831,train
20647264,test
20660494,train
20668903,train
20671210,test
20672414,train
20711836,train
20738609,train
20739547,train
20740288,train
20745478,train
20752021,train
20752987,train
20758275,test
20766369,train
20789198,train
20798454,train
20810774,test
20842315,train
20881101,train
20890869,train
20908112,train
20910462,train
20939397,train
20942536,test
20943832,test
20965750,train
20967430,test
20985806,train
21018456,train
21038831,train
21061308,train
21072638,train
21074683,train
21075047,train
21075607,train
21079014,train
21089349,train
21107552,train
21119563,train
21144414,train
21162110,train
21194616,test
21198159,test
21208048,train
21222071,train
21222373,train
21237781,train
21249880,train
21252091,train
21252188,test
21259057,test
21276630,train
21278809,test
21291976,train
21293501,train
21302773,test
21363878,train
21375744,train
21405841,train
21417127,train
21431134,test
21431554,train
21431770,train
21443258,test
21448699,test
21453122,train
21453526,train
21456676,train
21458398,train
21458938,test
21459745,train
21482918,train
21496016,train
21501198,test
21526348,train
21532395,train
21545063,train
21546010,test
21554958,train
21555016,train
21580712,train
21599455,train
21689254,train
21709347,train
21735977,test
21759319,train
21808006,test
21812927,test
21832825,train
21841981,train
21875024,train
21879026,test
21959228,test
22037125,train
22042714,train
22064519,train
22075653,test
22077707,train
22091651,train
22110197,train
22154155,train
22162940,train
22171922,train
22174581,train
22181575,train
22183259,train
22197279,train
22199417,train
22199854,train
22200375,train
22200415,train
22217844,train
22218048,train
22241562,train
22242698,test
22255192,train
22275529,train
22280994,train
22289960,train
22315950,train
22318827,train
22320312,test
22322565,train
22342762,train
22349956,test
22351368,test
22354567,test
22370109,train
22382672,train
22460626,train
22475127,train
22483099,train
22495883,train
22500999,train
22501026,train
22556872,test
22557959,train
22559227,train
22579989,train
22598207,test
22632636,train
22641943,train
22662699,test
22662952,train
22684601,train
22695354,test
22696188,train
22736888,train
22768220,test
22768552,train
22778184,train
22779598,train
22802121,train
22802583,train
22820006,train
22845957,train
22856326,train
22858159,train
22897795,train
22903146,train
22917136,train
22922064,train
22924396,train
22926238,train
22966047,train
22982188,test
22992946,train
22996227,train
23000775,train
23019052,train
23067373,train
23071933,train
23077467,train
23082151,train
23096426,train
23105508,test
23120023,train
23126353,test
23176584,train
23212745,train
23290410,train
23298585,train
23299893,test
23308349,test
23314254,train
23314858,train
23315743,train
23346210,train
23348678,train
23364842,train
23451359,test
23451726,test
23477057,test
23477973,train
23481275,train
23501368,test
23510393,test
23512312,train
23621771,train
23623112,test
23638161,test
23661086,train
23674729,train
23677956,train
23691025,test
23706704,train
23713635,train
23726066,train
23731129,test
23747428,train
23754949,train
23782669,train
23848408,train
23853837,train
23876403,test
24010707,train
24019375,train
24026444,test
24035138,train
24081986,train
24111150,train
24129195,train
24154046,train
24196054,train
24216126,train
24223620,train
24259674,train
24303386,train
24328002,train
24328488,train
24348019,train
24366244,train
24401462,train
24410517,train
24423970,train
24446063,train
24449046,test
24449713,test
24502179,train
24505475,train
24506971,train
24508841,train
24573909,test
24615567,train
24618866,train
24630271,train
24639361,train
24689619,train
24689832,train
24690410,train
24706463,test
24711562,train
24746106,train
24764185,train
24775158,train
24790763,train
24804289,train
24820002,train
24836860,train
24844434,train
24849778,train
24866550,train
24880706,train
24912827,train
24931388,train
24951430,test
25012330,train
25032777,train
25053189,test
25063152,train
25099998,train
25106503,test
25106713,train
25120680,test
25202253,train
25211175,train
25217652,train
25252686,train
25253665,test
25314669,test
25355594,test
25375916,train
25394130,train
25424828,train
25438611,train
25441857,train
25463002,test
25466492,train
25505809,test
25533351,test
25535508,train
25546798,train
25566800,test
25714189,train
25735914,train
25765982,train
25861901,train
25903553,train
25936092,test
25970203,train
26001190,train
26006558,train
26018998,train
26024313,train
26033271,train
26049181,train
26051171,test
26051342,train
26061196,train
26077828,train
26147288,train
26150763,train
26158789,train
26174016,train
26176334,train
26177003,test
26180749,train
26181378,train
26181921,train
26222336,train
26238458,train
26242714,train
26245413,train
26297971,test
26320273,train
26343916,train
26346833,train
26383628,train
26404790,train
26419059,train
26467675,train
26487044,train
26487848,train
26508423,train
26546193,train
26549473,test
26559060,train
26582503,train
26594082,train
26606882,test
26616955,train
26620526,train
26633041,train
26634539,train
26651561,train
26674998,train
26676986,train
26677366,train
26701296,train
26703697,train
26769544,train
26769830,train
26771220,test
26771372,test
26772242,train
26795436,test
26800964,test
26801151,train
26808926,train
26823620,test
26824121,train
26841304,test
26935364,train
26938628,train
26940598,train
26950491,train
26952394,test
26975349,train
26993702,test
27011856,test
27011860,train
27018606,train
27018620,train
27018621,train
27018623,test
27018624,train
27018634,test
27018635,train
27018640,train
27018643,train
27018645,train
27018646,test
27018647,train
27019863,train
27028946,train
27049153,train
27055854,train
27087980,train
27120196,train
27120381,train
27122904,train
27157054,train
27164026,test
27181314,train
27182280,test
27246434,train
27259147,train
27324919,train
27347856,train
27356547,test
27397593,train
27410997,test
27412012,train
27443291,train
27446684,train
27476768,train
27478247,test
27499168,train
27512181,train
27514750,test
27551986,train
27570610,train
27591362,train
27592366,train
27622100,train
27627221,train
27645497,train
27657259,train
27674562,train
27678463,test
27716513,train
27769256,test
27775143,train
27858308,train
27864240,test
27867153,train
27868396,test
27868762,train
27869320,test
27869754,train
27870140,train
27884032,train
27905841,train
27919679,train
27920752,train
27955603,train
28004334,train
28044368,train
28064699,test
28068656,train
28086407,test
28090404,test
28091977,train
28093270,train
28094535,train
28094911,train
28142296,train
28142343,train
28143091,train
28146018,train
28168852,train
28182613,train
28194113,train
28218006,train
28218033,test
28218434,train
28218608,train
28220477,train
28222980,train
28238467,train
28240669,train
28248485,train
28249744,test
28269610,test
28298952,train
28299184,train
28299765,train
28302220,train
28302855,train
28308576,train
28325360,train
28327822,train
28328056,train
28328620,train
28333870,train
28355595,train
28378483,train
28424899,train
28432988,train
28462130,train
28474188,train
28482023,test
28509911,train
28510393,train
28510664,train
28510951,train
28512558,train
28528251,train
28528534,test
28532109,train
28532200,train
28532542,test
28532851,test
28533381,train
28533803,train
28534517,train
28534680,train
28535346,train
28535860,train
28536218,train
28536871,train
28536991,train
28537085,train
28537159,train
28562096,train
28599090,train
28599096,train
28599111,train
28663943,train
28665499,train
28667024,train
28687007,train
28708034,test
28715244,test
28772056,train
28776202,train
28776682,train
28776888,train
28856109,train
28863960,train
28881636,test
28907785,train
28948026,train
28953859,train
28962324,train
29000041,train
29002077,train
29002551,train
29005536,train
29017267,train
29021563,train
29022213,train
29022547,train
29023341,train
29093185,train
29095645,test
29100712,train
29101452,train
29115867,train
29119987,test
29121104,train
29121214,test
29121547,train
29121725,train
29121915,test
29122017,train
29139664,train
29230217,test
29299465,test
29327911,test
29383900,train
29391809,train
29403218,train
29403939,test
29412907,train
29448866,train
29452996,train
29453151,test
29453880,train
29479322,test
29509859,train
29509862,test
29509865,test
29509869,train
29527972,train
29553923,train
29616716,train
29620734,train
29629949,train
29640017,train
29664434,train
29675993,train
29679995,train
29695826,train
29696183,train
29696197,train
29701362,train
29721020,train
29721616,train
29732182,train
29752224,train
29813399,test
29814952,train
29851651,train
29877575,test
29891720,train
29891968,train
29892626,train
29904920,train
29915685,train
29917180,train
29920405,test
29921363,train
29956924,test
29962850,train
29977114,train
29981959,train
29987635,train
29999322,train
30005447,train
30034739,train
30035135,train
30037247,train
30052147,test
30058984,train
30059894,train
30078342,train
30080518,train
30104515,test
30137654,test
30199707,train
30230330,train
30239816,test
30259491,train
30267264,train
30289059,train
30290944,train
30302887,train
30307728,train
30319167,train
30334384,train
30341837,train
30365864,train
30367510,train
30373468,train
30384248,test
30389555,test
30391846,train
30392465,train
30392738,train
30415464,train
30439405,test
30442199,train
30466274,train
30495280,train
30504725,test
30515176,train
30515744,train
30526896,train
30527210,train
30551380,train
30628724,train
30660100,train
30701211,train
30756552,train
30758778,train
30758793,train
30758989,train
30759237,train
30769380,train
30783677,train
30818789,train
30840544,train
30846121,train
30849280,test
30849386,train
30851490,train
30881310,test
30883941,train
30917638,train
30917918,train
30918263,train
30919726,test
30919819,train
30936690,train
30957066,train
31006339,train
31011154,train
31013185,train
31014654,train
31030169,train
31037448,train
31047671,train
31049161,train
31056518,test
31063190,train
31084288,train
31092213,test
31109296,train
31113849,train
31116923,train
31133644,test
31138895,test
31141186,test
31165067,train
31167826,test
31170463,train
31172381,train
31181847,test
31203061,train
31246982,train
31248515,train
31251453,test
31256397,train
31279775,train
31283158,test
31297828,test
31303101,train
31356953,train
31371396,train
31379224,train
31382592,test
31382644,train
31385396,train
31397816,train
31401028,test
31401947,test
31427501,train
31427769,test
31433214,train
31441769,train
31466784,train
31467134,train
31480066,train
31500359,train
31560900,test
31562363,train
31610667,train
31629992,train
31700785,test
31701521,train
31711514,train
31730522,train
31817631,train
31827316,train
31842746,train
31890149,test
31900671,train
31945452,train
31970794,train
31975697,test
31984520,train
32016500,test
32058264,train
32066095,train
32116312,train
32148495,train
32158100,test
32207401,train
32214669,train
32227865,train
32287732,train
32296033,train
32333841,train
32357598,test
32394837,train
32400001,test
32403757,train
32415519,train
32453118,train
32453154,train
32453158,train
32453210,train
32507831,test
32508600,train
32510629,test
32511013,test
32522190,train
32539254,test
32539441,train
32543811,train
32544078,train
32559224,train
32601729,train
32601803,train
32609957,train
32678196,train
32737794,train
32784430,train
32805277,train
32813793,train
32830041,test
32887831,train
32911164,train
32917104,train
32937552,test
32951328,train
32954742,train
32975221,train
32977370,train
32987496,train
33003272,test
33006441,train
33010418,train
33035580,train
33037187,train
33037713,train
33037950,train
33038742,test
33057414,train
33085434,train
33102204,train
33104837,test
33126311,train
33180505,train
33234428,train
33272585,train
33289666,train
33307314,train
33336145,train
33353921,train
33358993,train
33389721,train
33418825,train
33442714,train
33508961,test
33512140,train
33538327,test
33542164,train
33544257,train
33548454,train
33549040,train
33572637,train
33573236,test
33626343,train
33668396,train
33707449,train
33732235,train
33757780,test
33772661,test
33773317,train
33790157,train
33791379,train
33803119,train
33863166,test
33902056,train
33905326,train
33927617,test
33982292,train
33996221,train
34002394,train
34003008,test
34018418,train
34020845,train
34067473,train
34069313,train
34091731,train
34130158,train
34134892,train
34135306,train
34172297,train
34180989,train
34181329,train
34181769,train
34220815,train
34243172,test
34271196,test
34294699,train
34294913,train
34301098,train
34356661,train
34365674,test
34374769,train
34381299,train
34390904,train
34405060,train
34431567,test
34432500,train
34460887,train
34461750,train
34465926,train
34474401,train
34517444,train
34552316,train
34560198,train
34586087,train
34589316,train
34595902,train
34635504,train
34646313,train
34681413,train
34708500,train
34738999,train
34768810,train
34882152,test
34892496,test
34893511,train
34908507,train
34953155,train
34987933,train
34991812,train
34994590,test
34997076,train
35006092,test
35018575,train
35037673,train
35046813,train
35047049,train
35060094,train
35077505,train
35107959,train
35116312,train
35117556,train
35121666,test
35149279,train
35154766,train
35157832,train
35159493,train
35242748,test
35244242,train
35283311,train
35286177,train
35286307,train
35340791,train
35348359,train
35396598,test
35396599,train
35397528,train
35413889,train
35422386,train
35441162,train
35445340,train
35445363,train
35445375,train
35445389,train
35455790,train
35473332,test
35525079,train
35566480,train
35584798,train
35611317,test
35635868,train
35636021,train
35662653,train
35665106,train
35666163,train
35671098,train
35671251,train
35671331,train
35671485,train
35691026,train
